hospitalName,telNum,hospitalType,numDoc,numRoom,numBed,medicalCourse,address
바른본병원,02-1577-9844,병원,28,9,42,정형외과/ 신경외과/ 마취통증의학과/ 영상의학과,서울특별시 광진구 능동로 261 (군자동)
지혜병원,02-499-9955,병원,20,48,299,내과/ 정신건강의학과/ 가정의학과,서울특별시 동대문구 천호대로 421 (장안동)
대한민국요양병원,2213-9991,요양병원(일반요양병원),22,27,170,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 재활의학과/ 가정의학과,"서울특별시 동대문구 장한로 200 (장안동, KS빌딩)"
서울성심병원,02-966-1616,종합병원,188,47,224,내과/ 신경과/ 정신건강의학과/ 외과/ 정형외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 영상의학과/ 병리과/ 진단검사의학과/ 구강악안면외과,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)"
동서울병원,02-926-9171,병원,12,16,57,내과/ 정형외과/ 비뇨의학과,서울특별시 동대문구 왕산로 18 (신설동)
삼육서울병원,02-2244-0191,종합병원,483,99,431,치과/ 재활의학과/ 가정의학과/ 응급의학과/ 피부과/ 영상의학과/ 직업환경의학과/ 병리과/ 흉부외과/ 진단검사의학과/ 마취통증의학과/ 비뇨의학과/ 이비인후과/ 안과/ 소아청소년과/ 산부인과/ 신경과/ 신경외과/ 정신건강의학과/ 정형외과/ 외과/ 내과,서울특별시 동대문구 망우로 82 (휘경동)
경희대학교치과병원,02-958-8114,치과병원,151,4,20,구강악안면외과/ 치과보철과/ 치과교정과/ 소아치과/ 치주과/ 치과보존과/ 구강내과/ 영상치의학과,"서울특별시 동대문구 경희대로 23 (회기동, 경희의료원)"
경희대학교병원,02-958-8114,종합병원,1258,236,844,구강악안면외과/ 예방의학과/ 응급의학과/ 직업환경의학과/ 핵의학과/ 가정의학과/ 재활의학과/ 진단검사의학과/ 병리과/ 방사선종양학과/ 영상의학과/ 비뇨의학과/ 피부과/ 이비인후과/ 안과/ 소아청소년과/ 산부인과/ 마취통증의학과/ 성형외과/ 흉부외과/ 신경외과/ 정형외과/ 외과/ 정신건강의학과/ 신경과/ 내과,서울특별시 동대문구 경희대로 23 (회기동)
경희대학교한방병원,02-958-8114,한방병원,205,52,183,침구과/ 사상체질과/ 한방재활의학과/ 한방안·이비인후·피부과/ 한방신경정신과/ 한방소아과/ 한방부인과/ 한방응급과/ 한방내과,서울특별시 동대문구 경희대로 23 (회기동)
서울에이스요양병원,02-961-4700,요양병원(일반요양병원),46,37,229,내과/ 신경과/ 재활의학과/ 가정의학과/ 침구과,서울특별시 동대문구 고산자로 379 (용두동)
멘토스병원,02-2214-5100,병원,30,28,273,내과/ 정신건강의학과,서울특별시 동대문구 한천로 49 (답십리동)
브레인요양병원,2211-2211,요양병원(일반요양병원),32,24,143,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 소아청소년과/ 이비인후과/ 피부과/ 비뇨의학과/ 재활의학과/ 가정의학과/ 한방내과/ 한방부인과/ 한방소아과/ 한방안·이비인후·피부과/ 한방신경정신과/ 한방재활의학과/ 사상체질과/ 침구과,서울특별시 동대문구 장한로32길 7 (장안동)
왕십리휴요양병원,02-927-6501,요양병원(일반요양병원),41,50,211,내과/ 정형외과/ 신경외과/ 재활의학과/ 가정의학과/ 한방내과/ 한방재활의학과,"서울특별시 동대문구 무학로 88 (용두동, 지하2~지상8층)"
서울명병원,965-2800,병원,31,40,286,내과/ 신경과/ 정신건강의학과/ 가정의학과,서울특별시 동대문구 고산자로 421 (용두동)
삼육치과병원,02-3407-2875,치과병원,19,3,6,구강악안면외과/ 치과보철과/ 치과교정과/ 소아치과/ 치주과/ 치과보존과/ 구강내과/ 영상치의학과/ 구강병리과,서울특별시 동대문구 망우로 82 (휘경동)
서울나은병원,1544-6003,병원,21,15,72,내과/ 영상의학과/ 마취통증의학과/ 정형외과/ 신경외과,서울특별시 동대문구 왕산로 137 (제기동)
영동병원,02-469-0019,병원,22,22,80,내과/ 정형외과/ 성형외과/ 영상의학과,서울특별시 동대문구 한천로 4 (장안동)
효림요양병원,02-962-1123,요양병원(일반요양병원),44,49,241,내과/ 신경과/ 정신건강의학과/ 정형외과/ 재활의학과/ 가정의학과/ 한방내과/ 침구과,서울특별시 동대문구 천호대로 259-1 (답십리동)
린여성병원,2244-1212,병원,40,38,60,내과/ 외과/ 산부인과/ 소아청소년과/ 피부과/ 치주과/ 치과보존과,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)"
날개병원,02-959-9191,병원,12,9,39,신경외과/ 외과/ 내과/ 비뇨의학과/ 정형외과/ 영상의학과,서울특별시 동대문구 무학로 193-1 (용두동)
참튼튼병원,1588-7562,병원,50,16,93,진단검사의학과/ 소아청소년과/ 산부인과/ 비뇨의학과/ 재활의학과/ 병리과/ 마취통증의학과/ 피부과/ 외과/ 가정의학과/ 내과/ 신경외과/ 정형외과/ 영상의학과,서울특별시 동대문구 답십리로 261 (장안동)
맑은수병원,02-2681-0119,병원,26,39,146,내과/ 신경과/ 영상의학과/ 재활의학과/ 가정의학과,서울특별시 동대문구 천호대로83길 44 (장안동)
햇살요양병원,02-2244-5533,요양병원(일반요양병원),46,37,208,내과/ 신경과/ 정형외과/ 신경외과/ 재활의학과/ 가정의학과/ 한방재활의학과/ 침구과,"서울특별시 동대문구 장한로 152, 지하1~2층, 지상3 ~10층 (장안동)"
신우요양병원,02-2214-7582,요양병원(일반요양병원),19,20,116,침구과/ 한방신경정신과/ 한방부인과/ 사상체질과/ 한방안·이비인후·피부과/ 한방내과/ 한방응급과/ 한방재활의학과/ 한방소아과/ 신경외과/ 신경과/ 정형외과/ 내과/ 재활의학과/ 가정의학과,"서울특별시 동대문구 한천로 207, 지하1,지상1,3~6층 (전농동)"
경동요양병원,02-964-1961,요양병원(일반요양병원),13,22,84,침구과/ 한방신경정신과/ 비뇨의학과/ 외과/ 신경외과/ 내과/ 가정의학과/ 피부과/ 재활의학과/ 정형외과,"서울특별시 동대문구 약령시로 124 (청량리동, 지하2~지상10층)"
시카고치과병원,02-2232-7875,치과병원,1,0,0,구강악안면외과/ 치과보철과/ 치과교정과/ 소아치과/ 치주과/ 치과보존과/ 구강내과/ 영상치의학과/ 구강병리과/ 예방치과,서울특별시 동대문구 천호대로 2 (신설동)
코리아병원,02-2281-9999,병원,16,22,98,신경외과/ 정형외과/ 내과,서울특별시 동대문구 장한로 143 (장안동)
다일천사병원,02-2213-8004,병원,2,5,30,가정의학과/ 정신건강의학과/ 신경외과/ 정형외과/ 외과/ 내과,"서울특별시 동대문구 서울시립대로 57, 천사병원 B1,1,2,3,6층 (전농동)"
서울특별시 동부병원,02-920-9307,종합병원,192,54,201,내과/ 신경과/ 정신건강의학과/ 외과/ 정형외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 안과/ 이비인후과/ 비뇨의학과/ 영상의학과/ 병리과/ 진단검사의학과/ 가정의학과/ 응급의학과/ 치과,서울특별시 동대문구 무학로 124 (용두동)
하늘병원,02-2246-8750,병원,61,20,77,가정의학과/ 재활의학과/ 마취통증의학과/ 신경외과/ 정형외과/ 내과,"서울특별시 동대문구 천호대로 317, 하늘병원 (답십리동)"
행복닥터스요양병원,02-2088-0580,요양병원(일반요양병원),10,38,176,내과/ 신경과/ 정형외과/ 신경외과/ 영상의학과/ 재활의학과/ 가정의학과/ 한방내과/ 한방재활의학과/ 침구과,"서울특별시 동대문구 정릉천동로 102, 지하1층~지상4층 (제기동)"
의료법인마리아의료재단마리아병원,02-2234-6555,병원,43,10,30,산부인과/ 비뇨의학과,서울특별시 동대문구 천호대로 20 (신설동)
엘치과병원,02-2246-7528,치과병원,3,0,0,치과보철과/ 치과교정과/ 치주과/ 치과보존과/ 예방치과,"서울특별시 동대문구 전농로 102, 3층 (답십리동)"
팔팔병원,02-1899-8875,병원,60,15,86,내과/ 외과/ 정형외과/ 신경외과/ 영상의학과,"서울특별시 중랑구 동일로 679 (면목동, 88병원)"
서울특별시서울의료원,02-2276-7000,종합병원,857,168,623,내과/ 신경과/ 정신건강의학과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 성형외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 안과/ 이비인후과/ 피부과/ 비뇨의학과/ 영상의학과/ 병리과/ 진단검사의학과/ 재활의학과/ 가정의학과/ 핵의학과/ 직업환경의학과/ 응급의학과/ 침구과/ 구강악안면외과,서울특별시 중랑구 신내로 156 (신내동)
로하스동서울요양병원,02-577-9696,요양병원(일반요양병원),23,24,128,내과/ 신경과/ 정신건강의학과/ 정형외과/ 재활의학과/ 침구과,"서울특별시 중랑구 봉화산로 194, 신아타운 4,5층 (신내동)"
서울특별시 북부병원,02-2036-0200,병원,118,50,200,내과/ 신경과/ 정신건강의학과/ 재활의학과/ 가정의학과/ 한방내과/ 한방부인과/ 한방소아과/ 한방안·이비인후·피부과/ 한방신경정신과/ 한방재활의학과/ 사상체질과/ 침구과,서울특별시 중랑구 양원역로 38 (망우동)
의료법인한국의료재단프라임병원,02-975-7500,병원,2,9,30,내과/ 마취통증의학과/ 소아청소년과/ 피부과/ 비뇨의학과/ 재활의학과,서울특별시 중랑구 공릉로 76 (묵동)
라본병원,02-2209-6677,병원,10,17,57,내과/ 정형외과/ 신경외과/ 마취통증의학과/ 영상의학과/ 재활의학과,서울특별시 중랑구 망우로 476 (망우동)
한걸음요양병원,02-493-9700,요양병원(일반요양병원),28,24,144,내과/ 재활의학과/ 한방내과/ 한방재활의학과/ 침구과,"서울특별시 중랑구 망우로 316, 이지팰리스 5~7층 503-2,504,505,601~605,701~705호 (상봉동)"
마디세상병원,1661-0592,병원,9,13,43,내과/ 신경과/ 정형외과/ 신경외과/ 마취통증의학과/ 소아청소년과/ 피부과/ 비뇨의학과/ 영상의학과/ 가정의학과,서울특별시 중랑구 동일로 890 (묵동)
서울선병원,02-436-1900,병원,5,10,31,내과/ 정형외과/ 마취통증의학과/ 영상의학과/ 재활의학과,"서울특별시 중랑구 망우로 373 (상봉동, 서울선병원)"
조앤조병원,02-433-3336,병원,10,17,65,내과/ 외과/ 정형외과/ 신경외과/ 마취통증의학과/ 피부과/ 비뇨의학과/ 영상의학과/ 재활의학과,"서울특별시 중랑구 망우로 474 (망우동, 조앤조병원)"
녹색병원,02-490-2000,종합병원,210,67,316,내과/ 신경과/ 정신건강의학과/ 외과/ 정형외과/ 신경외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 비뇨의학과/ 영상의학과/ 진단검사의학과/ 재활의학과/ 가정의학과/ 직업환경의학과/ 응급의학과/ 치과,서울특별시 중랑구 사가정로49길 53 (면목동)
장스여성병원,02-490-4000,병원,13,25,37,내과/ 산부인과/ 소아청소년과/ 영상의학과/ 진단검사의학과,서울특별시 중랑구 망우로 411 (망우동)
강북21세기병원,1577-6336,병원,28,28,87,내과/ 정형외과/ 신경외과/ 마취통증의학과/ 영상의학과,서울특별시 중랑구 면목로 473 (상봉동)
의료법인풍산의료재단동부제일병원,02-437-5011,종합병원,84,24,104,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 영상의학과/ 진단검사의학과/ 가정의학과,"서울특별시 중랑구 망우로 511 (망우동, 동부제일병원)"
늘찬병원,02-1644-0710,병원,25,14,58,내과/ 정형외과/ 신경외과/ 마취통증의학과/ 영상의학과,서울특별시 중랑구 봉우재로 234 (망우동)
연세본병원,02-435-5800,병원,17,9,53,내과/ 정형외과/ 신경외과/ 마취통증의학과/ 영상의학과,"서울특별시 중랑구 면목로 310, 4,5,6,7층일부층 (면목동)"
위너스병원,02-433-1195,요양병원(정신병원),13,21,199,정신건강의학과,"서울특별시 중랑구 망우로 403, 5층,6층,7층 (망우동)"
디앤에프병원,02-434-2119,병원,25,18,66,내과/ 정형외과,"서울특별시 중랑구 봉화산로 64 (중화동, 디엔에프병원)"
의료법인 우신향병원,02-926-7505,병원,26,29,80,재활의학과/ 영상의학과/ 비뇨의학과/ 마취통증의학과/ 신경외과/ 정형외과/ 외과/ 내과,서울특별시 성북구 안암로 99 (안암동5가)
사회복지법인 성가소비녀회 성가복지병원,02-940-1500,병원,23,21,72,마취통증의학과/ 치과/ 정신건강의학과/ 신경과/ 피부과/ 진단검사의학과/ 영상의학과/ 이비인후과/ 산부인과/ 안과/ 비뇨의학과/ 신경외과/ 정형외과/ 외과/ 내과,서울특별시 성북구 종암로 191 (하월곡동)
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1577-0083,종합병원,1615,262,1048,내과/ 신경과/ 정신건강의학과/ 외과/ 정형외과/ 신경외과/ 흉부외과/ 성형외과/ 마취통증의학과/ 산부인과/ 소아청소년과/ 안과/ 이비인후과/ 피부과/ 비뇨의학과/ 영상의학과/ 방사선종양학과/ 병리과/ 진단검사의학과/ 재활의학과/ 가정의학과/ 핵의학과/ 응급의학과/ 구강악안면외과/ 치과보철과/ 치과교정과,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)"
성북우리아이들병원,912-0100,병원,44,45,69,예방치과/ 구강병리과/ 영상치의학과/ 구강내과/ 치과보존과/ 치주과/ 소아치과/ 치과교정과/ 치과보철과/ 구강악안면외과/ 가정의학과/ 영상의학과/ 비뇨의학과/ 피부과/ 이비인후과/ 안과/ 소아청소년과/ 정신건강의학과/ 내과,서울특별시 성북구 동소문로46길 10 (하월곡동)
성북서울요양병원,6312-3700,요양병원(일반요양병원),48,50,286,내과/ 신경과/ 외과/ 정형외과/ 신경외과/ 재활의학과/ 가정의학과/ 한방내과/ 한방부인과/ 한방소아과/ 침구과,서울특별시 성북구 종암로 31 (종암동)
더서울병원,929-2114,병원,28,16,58,내과/ 정형외과/ 신경외과/ 마취통증의학과/ 재활의학과/ 가정의학과,서울특별시 성북구 아리랑로 16 (동선동4가)
성북웰니스요양병원,02-3672-2233,요양병원(일반요양병원),29,37,189,내과/ 신경과/ 외과/ 마취통증의학과/ 가정의학과/ 한방내과/ 한방부인과/ 한방소아과/ 한방안·이비인후·피부과/ 한방신경정신과/ 한방재활의학과/ 사상체질과/ 침구과/ 한방응급과,서울특별시 성북구 보문로 86 (보문동4가)
동서요양병원,02-942-3611,요양병원(일반요양병원),35,27,151,재활의학과/ 정형외과/ 신경과/ 내과,서울특별시 성북구 동소문로 306 (하월곡동)
의료법인참예원의료재단 성북참노인전문병원,02-912-2114,요양병원(노인병원),56,59,226,침구과/ 한방내과/ 재활의학과/ 외과/ 신경과/ 내과,서울특별시 성북구 북악산로1길 71 (정릉동)
새마음요양병원,02-911-7115,요양병원(일반요양병원),25,34,195,한방내과/ 신경과/ 정형외과/ 외과/ 내과/ 재활의학과/ 신경외과,서울특별시 성북구 동소문로 215 (정릉동)
보문효사랑요양병원,02-929-3355,요양병원(일반요양병원),30,37,184,침구과/ 한방재활의학과/ 한방내과/ 가정의학과/ 재활의학과/ 이비인후과/ 소아청소년과/ 신경외과/ 정형외과/ 외과/ 신경과/ 내과,서울특별시 성북구 보문로 46 (보문동7가)
