hospitalName,evaluation,address
(의)경빈의료재단 김해센텀병원,2등급,"경상남도 김해시 구지로 56 지2~4층 (내동, 김해센텀병원)"
(의)고담의료재단마더스병원,5등급,울산광역시 남구 화합로 107 (달동)
(의)나사렛의료재단 나사렛국제병원,4등급,인천광역시 연수구 먼우금로 98-   (동춘동)
(의)미래의료재단리드림의원,2등급,"서울특별시 강남구 테헤란로 513 (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)"
(의)삼세의료재단 몸사랑내과의원,2등급,부산광역시 영도구 절영로30번길 30 6층 601호 (대교동1가)
(의)서봉의료재단 보강병원,1등급,대구광역시 달서구 월배로 102 (진천동)
(의)서일의료재단기장병원,1등급,부산광역시 기장군 기장읍 대청로72번길 6 6
(의)성광의료재단 차움의원,3등급,"서울특별시 강남구 도산대로 442 (청담동, 2층일부 3층일부)"
(의)성광의료재단차움건진의원,1등급,"서울특별시 강남구 테헤란로 509 (삼성동, 지하2층,지하1층일부,2층)"
(의)아나의료재단강릉아나병원,2등급,강원도 강릉시 용지로 129 129
(의)열린의료재단 분당열린의원,1등급,"경기도 성남시 분당구 분당로53번길 22 4층 (서현동, 블루홀빌딩)"
(의)열린의료재단 예인의원,3등급,"서울특별시 강서구 양천로 366 5,6층 (가양동, 미라클빌딩)"
(의)영문의료재단 다보스병원,3등급,경기도 용인시 처인구 백옥대로1082번길 18 다보스종합병원 (김량장동)
(의)인석의료재단보람병원,4등급,울산광역시 남구 돋질로336번길 10 (삼산동)
(의)인일의료재단인천제일의원,3등급,"인천광역시 부평구 일신로 8 지1층, 1(일부)층, 2(일부)층, 3층 (일신동)"
(의)한국필의료재단 한국의원,1등급,"서울특별시 강동구 성내로 71 케이씨엘빌딩 2,3층 (성내동)"
(의)효심의료재단 용인서울병원,3등급,경기도 용인시 처인구 고림로 81 (고림동)
(재)대한불교관음종 참조은의원,2등급,전라남도 목포시 수문로 39-1 (남교동)
(재)대한불교관음종대동의원,1등급,경상남도 김해시 대동면 동남로85번길 48 48
(재)마리아수녀회 알로이시오 기념병원,2등급,부산광역시 서구 감천로 229 (암남동)
(재)미리내천주성삼성직수도회천주성삼병원,2등급,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)"
(재)씨젠의료재단씨젠대구의원,1등급,대구광역시 서구 북비산로 360 (비산동)
(재)이랜드재단 이랜드의원,1등급,서울특별시 금천구 가산디지털1로 186 제이플라츠 401~402호 (가산동)
(재)천주교서울대교구유지재단 전진상의원,1등급,서울특별시 금천구 탑골로3가길 22 전진상사회복지관 (시흥동)
(재)한·호기독교선교회 맥켄지화명일신기독병원,1등급,부산광역시 북구 금곡대로 133 (덕천동)
(재)한국산업보건연구재단 참사랑연합의원,3등급,"경상북도 포항시 남구 상공로 43 (상도동, 남부시장)"
(재)한국산업의학연구소부설그린의원,4등급,"서울특별시 금천구 시흥대로 473 2,4층 (독산동)"
(재)한국의학연구소 KMI경기의원,3등급,"경기도 수원시 권선구 권광로139번길 11 1~3층 (권선동, 동양덱스빌)"
(재)한국의학연구소대구분사무소부설의원,3등급,"대구광역시 중구 국채보상로 611 (문화동, 대구시티센터)"
(재)한호기독선교회 정관일신기독병원,1등급,"부산광역시 기장군 정관읍 정관6로 31 3-8, 10층"
(주)하나은행부속의원,1등급,"서울특별시 중구 을지로 35 8층 (을지로1가, 하나은행)"
(홍인의료소비자생활협동조합)우리현대의원,1등급,경기도 용인시 처인구 양지면 양지로 137 (양지면)
(本)본브릿지병원,3등급,"서울특별시 송파구 송파대로 562 2,3,8층 (신천동, 한빛프라자,삼성웰리스아파트)"
123내과의원,3등급,"광주광역시 북구 동문대로 102 장안빌딩 2,4,5층 (두암동)"
153신경외과의원,4등급,인천광역시 남동구 호구포로 830 5층 (구월동)
21세기 충주제통의원,4등급,충청북도 충주시 봉현로 222 (교현동)
21세기내과의원,1등급,"경상남도 창원시 성산구 반송로 150 (반림동, 회성빌딩3층)"
21세기내과의원,3등급,대구광역시 수성구 화랑로 122 (만촌동)
21세기내과의원,5등급,"경기도 양주시 고읍남로 6-16 (광사동, 광장프라자 3층)"
21세기라파병원,4등급,"부산광역시 부산진구 중앙대로 777 4,6,7층 (부전동, 서면호텔 복합시설)"
21세기미소내과의원,1등급,"인천광역시 남동구 백범로 322 2층 (간석동, 진메디칼센터)"
21세기병원,1등급,인천광역시 남동구 정각로 2 (구월동)
21세기소아청소년과의원,2등급,강원도 원주시 봉화로 27 (단계동)
21세기연세의원,4등급,"경기도 성남시 분당구 성남대로 345 7층 701~703호 (정자동, 정자역프라자)"
21세기연합소아과의원,3등급,대구광역시 수성구 화랑로 122 (만촌동)
21세기연합정형외과의원,5등급,경상북도 포항시 북구 학전로111번길 43 (두호동)
21세기우리의원,4등급,"경기도 화성시 동탄솔빛로 48 2,3,4,층 (반송동, 거택프라자)"
21세기의원,1등급,경기도 성남시 분당구 돌마로 482 주영빌딩 2층 (서현동)
21세기의원,1등급,"경기도 안산시 상록구 샘골로 142 (본오동, 동보프라자)"
21세기정형외과의원,1등급,경기도 김포시 양촌읍 양곡로 530 2층
21세기좋은병원,4등급,울산광역시 북구 호계로 285 (호계동)
21세기중앙의원,1등급,"전라북도 익산시 선화로 689-29 201호 (부송동, 우남타운아파트상가)"
21세기하나내과의원,1등급,전라남도 목포시 백년대로 291 (상동)
24시열린의원,1등급,"서울특별시 광진구 능동로 90 3층 (자양동, 더클래식500)"
24시열린의원,2등급,"서울특별시 양천구 목동동로 233-1 109호 (목동, 현대드림타워)"
24시열린의원,1등급,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 지하층 B1095호 (상암동)
24시열린의원,1등급,"서울특별시 송파구 백제고분로 187 2층 205,206호 (잠실동, 파크인수)"
365 연합의원,3등급,"전라북도 익산시 무왕로19길 59 2층 (어양동, 다나빌딩)"
365mc모인이비인후과의원,4등급,서울특별시 중랑구 사가정로 395 (면목동)
365건강한부곡의원,2등급,경기도 의왕시 부곡중앙남3길 2 (삼동)
365검단열린의원,4등급,"인천광역시 서구 단봉로 97-7 3층 305, 306호 (오류동, 오류센터프라자)"
365내과연합의원,1등급,인천광역시 계양구 장제로 867 (임학동)
365내과의원,1등급,"경기도 수원시 영통구 봉영로 1569 (영통동, 뉴월드프라자 402,403호)"
365늘속편한내과의원,1등급,"대구광역시 북구 학정로 415 2층 (동천동, 메가타운)"
365다나아가정의학과의원,4등급,"충청북도 청주시 서원구 산남로 48 3층 (산남동, 대운프라자)"
365더사랑의원,2등급,충청북도 청주시 흥덕구 오송읍 오송생명로 194 2층 204호 (오송랜드)
365드림아이의원,4등급,경상북도 포항시 북구 삼흥로 18 (두호동)
365드림의원,4등급,"경기도 광주시 광주대로 35 4,7층 (경안동)"
365메디의원,3등급,서울특별시 강북구 삼양로 241 3층 (미아동)
365미소내과의원,1등급,서울특별시 동작구 남부순환로 2055 2층 (사당동)
365벗이비인후과의원,5등급,"경기도 부천시 길주로 183 303,307호 (중동, 영라이프빌딩)"
365별소아청소년과의원,1등급,"인천광역시 서구 가정로 375 3층 302호 (신현동, 금강아미움)"
365병원,4등급,경상남도 창원시 마산회원구 3·15대로 686 (석전동)
365봄이비인후과의원,5등급,"서울특별시 성북구 길음로 33 A동상가동 지하1층 1호,2-1호 (길음동, 길음뉴타운8단지아파트)"
365삼성i소아청소년과의원,1등급,"경기도 파주시 교하로 87 8층 (목동동, 삼성프라자)"
365상상메디칼의원,5등급,"충청남도 천안시 서북구 성정공원7길 3 1,2층 (성정동)"
365서울가정의학과의원,4등급,"경기도 시흥시 배곧1로 27-15 2층 201~202호 (정왕동, 한라비발디캠퍼스)"
365서울내과의원,1등급,"경기도 남양주시 늘을3로 65-12 403호 (호평동, 금강프라자)"
365서울소아청소년과의원,5등급,"경기도 고양시 덕양구 화중로 66-0 (화정동, 롯데마트)"
365서울연합의원,3등급,서울특별시 중랑구 망우로 463 2층 (망우동)
365성모가정의학과의원,2등급,"강원도 춘천시 후석로 352 2층 (후평동, 국제빌딩)"
365소아청소년과의원,1등급,경기도 여주시 세종로 19 2층 202호 (홍문동)
365소아청소년과의원,4등급,"경기도 김포시 김포한강4로 113 503,504호 (장기동, 신한프라자)"
365스마트의원,4등급,서울특별시 구로구 경인로 482 롯데마트구로점 4층 (구로동)
365스마트의원,1등급,"경기도 수원시 장안구 만석로19번길 25-10 (천천동, 롯데마트)"
365아이랑소아청소년과의원,3등급,"경기도 수원시 영통구 중부대로 604 1층 (영통동, 수원영통리슈빌스카이오피스텔)"
365아이맘의원,1등급,"인천광역시 미추홀구 소성로 6 지하1층 (용현동, 홈플러스)"
365에스와이(SY)서울연세이비인후과의원,5등급,"경기도 성남시 분당구 서현로210번길 20 3,4층 305-3,306,402호 (서현동, 코코프라자)"
365연세의원,4등급,"서울특별시 성동구 왕십리로 410 L동 3층 320호 (하왕십리동, 센트라스)"
365연세홈닥터의원,5등급,대전광역시 대덕구 동춘당로94번길 11-7 광혜빌딩 201호 (송촌동)
365연합의원,4등급,"전라남도 여수시 시청로 46 2, 3, 4, 5층 (학동)"
365연합의원,1등급,경기도 평택시 송탄로40번길 79-16 (이충동)
365열린가정의원,1등급,"광주광역시 북구 삼정로 7 204호 (두암동, 주공2단지상가)"
365열린가정의학과의원,3등급,서울특별시 강남구 도곡로 405 삼환 아르누보2 204호 (대치동)
365열린메디칼의원,5등급,"경기도 수원시 권선구 금곡로 202 e-SPACE CITY-1 301~304, 308~311, 405~409호 (금곡동)"
365열린연합의원,5등급,"세종특별자치시 마음로 74 302.303호 (고운동, 그랜드프라자)"
365열린연합의원,1등급,"대전광역시 서구 관저동로 88 202호 (관저동, 관저빌딩)"
365열린의원,5등급,서울특별시 노원구 한글비석로 77 3층 (하계동)
365열린의원,2등급,경기도 안산시 상록구 시낭북로4길 1 2층 (부곡동)
365열린의원,3등급,"충청남도 아산시 용화로9번길 4-22 2층 (용화동, 365건물)"
365열린종합내과의원,1등급,대구광역시 달서구 월배로 327 4층 (송현동)
365우리의원,4등급,충청북도 증평군 증평읍 증평로 3 ()
365웰니스의원,2등급,"충청남도 천안시 서북구 충무로 172 2,3,5층 (쌍용동, 범양건영)"
365위례연세내과의원,2등급,"경기도 성남시 수정구 위례동로 153 4층 404호 (창곡동, 에이플타워)"
365의원,1등급,경기도 부천시 소향로 131 501호 (중동)
365일건강가정의학과의원,3등급,부산광역시 동구 망양로 893-1 (범일동)
365장편한호내과의원,1등급,"경기도 안산시 상록구 샘골로 150 동성빌딩 202,203호 (본오동)"
365정성의원,2등급,강원도 화천군 화천읍 중앙로 25 엄경태의원
365제주의원,5등급,"제주특별자치도 제주시 서광로 302 2,3,4,5,6층 (이도이동)"
365최재혁가정의학과의원,1등급,대전광역시 서구 계백로 1141 301호 (가수원동)
365키즈소아청소년과의원,2등급,"경기도 의왕시 포일로 43 (내손동, 대림프라자 402호 )"
365편안한내과의원,2등급,경기도 광명시 오리로 976 (광명동)
365편한내과의원,1등급,경기도 군포시 군포역1길 10 3층 (당동)
365프렌즈내과의원,1등급,"경기도 성남시 수정구 위례동로 147 5층 505호 (창곡동, 위례건아타워)"
365플러스의원,1등급,경기도 부천시 경인로 532 3층 (괴안동)
365플러스이비인후과의원,1등급,"경기도 용인시 기흥구 죽전로 53 404호 (보정동, 야후빌딩)"
365호계내과의원,1등급,울산광역시 북구 호계로 272 (호계동)
365힐링의원,2등급,"서울특별시 강동구 천호대로 1087 2층 201호 (천호동, 진넥스빌Ⅲ)"
365힐링의원,2등급,경기도 수원시 영통구 영통로 151 2층 (망포동)
3대정이비인후과의원,1등급,"경기도 성남시 분당구 야탑로 95 2층 (야탑동, 세신옴니코아)"
5튼튼의원,1등급,광주광역시 광산구 용아로 234 (우산동)
7내과의원,1등급,부산광역시 연제구 중앙대로 1112 7층 (연산동)
911매일의원,5등급,제주특별자치도 제주시 중앙로 286 (이도이동)
ABC김광우소아청소년과의원,5등급,경상북도 포항시 북구 두호로 21 (두호동)
All바른의원,1등급,강원도 동해시 발한로 210 (발한동)
BMF의원,3등급,"광주광역시 남구 군분로 34 2,3층 (월산동)"
C&J미래여성병원,4등급,경상남도 창원시 의창구 원이대로 53 (도계동)
CNA서울아동병원,2등급,"경상남도 창원시 성산구 마디미서로 54 (상남동, 7,8,9,12층)"
DR.문이비인후과의원,3등급,서울특별시 관악구 은천로 105 (봉천동)
Dr 목의원,4등급,충청남도 아산시 배방읍 모산로 185 3층 (리더스몰)
Dr.배 가정의학과의원,4등급,경기도 이천시 부발읍 경충대로 2096-4 209호
Dr.송내과의원,1등급,"인천광역시 남동구 담방로 45 301호 (만수동, 희망프라자)"
Dr.윤가정의학과의원,2등급,대전광역시 유성구 은구비로 18 (지족동)
Dr.하석우의한사랑의원,2등급,"강원도 동해시 효자남길 16 1층 (동회동, 월드상가)"
Dr윤의원,1등급,"경상남도 창원시 성산구 중앙대로 123 (중앙동, 롯데마트4층)"
Dr홍연합의원,1등급,"서울특별시 송파구 토성로 58 (풍납동, 도원빌딩 2층)"
J&L우리들내과의원,2등급,부산광역시 중구 대청로 80 (대청동3가)
JS노송병원,5등급,인천광역시 서구 길주로 91 (석남동)
JS메디칼내과외과정형외과의원,4등급,충청남도 천안시 서북구 직산읍 봉주로 51 ()
KS병원,3등급,광주광역시 광산구 왕버들로 220  (수완동)
LBO의원,3등급,"서울특별시 중랑구 망우로 247 2층 (중화동, 로얄스포츠센타)"
LH의원,2등급,"경기도 성남시 분당구 성남대로54번길 3 3층 (구미동, 대한주택공사별관)"
LH의원,5등급,"경상남도 진주시 충의로 19 2층 (충무공동, LH본사 늘벗동)"
MS재건병원,1등급,"대구광역시 중구 동덕로 194 (동인동1가, 동화빌딩)"
M병원,2등급,대구광역시 북구 팔달로 147 (노원동3가)
OK(오케이)내과의원,1등급,"서울특별시 은평구 서오릉로 131 5층 (역촌동, 구산빌딩)"
OK의원,1등급,부산광역시 사하구 낙동대로 416 5-8층 (당리동)
S&U서울외과의원,2등급,경기도 수원시 장안구 서부로 2117 (율전동)
SCH서울아동병원,4등급,경상남도 통영시 중앙로 334-1 6~9층층 (무전동)
SC제일산부인과의원,2등급,서울특별시 광진구 광나루로 506 (구의동)
SG삼성조은병원,4등급,충청남도 천안시 서북구 불당25로 200 (불당동)
SH통증제로신경외과의원,1등급,경기도 의정부시 천보로 38 4층 405호 (민락동)
SK 하이스텍(주)부속의원,1등급,경기도 이천시 부발읍 경충대로 2091 2091
SKY서울가정의학과의원,5등급,서울특별시 성북구 성북로4길 52 417동 2층 1211호 (돈암동)
SK메디모아소아청소년과의원,4등급,경기도 수원시 장안구 이목로 24-9 (정자동)
SOK 속편한내과의원,4등급,"경기도 파주시 미래로 375 삼성메디컬 프라자 502, 503, 504호 (동패동)"
SOK속편한내과의원,1등급,"경기도 부천시 경인로 231 202호,202호,203일부호 (심곡본동)"
SOK수지속편한내과의원,3등급,"경기도 용인시 수지구 손곡로 95 308,309,310호 (동천동, 송란빌딩)"
The 나은의원,1등급,"경기도 과천시 별양로 12 A동 3층 3011호 (원문동, 래미안 슈르)"
The서울아산내과의원,5등급,경기도 남양주시 진접읍 장현천로 28 8층 802호 (우경메디프라자)
W(더블유)여성병원,4등급,인천광역시 미추홀구 인주대로 400 제일여성병원 (주안동)
W365메디컬의원,5등급,"부산광역시 남구 분포로 145 2086-2, 2087호 (용호동, 더블유)"
e-서울이비인후과의원,4등급,경기도 안양시 동안구 관평로 312 3층 (관양동)
e-서울이비인후과의원,4등급,"경기도 성남시 분당구 황새울로342번길 11 401호 402호 (서현동, 금호리빙스텔)"
e-서울이비인후과의원,1등급,서울특별시 구로구 디지털로 288 대륭포스트타워1차 211호 (구로동)
the속시원내과의원,4등급,부산광역시 사하구 다대로 550 5층 (다대동)
the큰병원,1등급,"경상남도 창원시 의창구 우곡로217번길 10 (명서동, 지하1,2층지상2,3,4,5,6,7,8층)"
가나의원,3등급,울산광역시 중구 옥교6길 7 2층 (학산동)
가나이비인후과의원,1등급,"서울특별시 서초구 서초중앙로 230 4층 (반포동, 반포동화프라자)"
가나정형외과의원,3등급,울산광역시 동구 방어진순환도로 713 (전하동)
가남의원,4등급,부산광역시 북구 시랑로131번길 40 (구포동)
가남현대의원,5등급,경기도 여주시 가남읍 태평로 56 ()
가능성모의원,1등급,경기도 의정부시 호국로 1125 2층 (가능동)
가능제일마취통증의학과의원,1등급,경기도 의정부시 신촌로 65 (가능동)
가든이비인후과의원,5등급,"서울특별시 마포구 마포대로 52 201호 (도화동, 고려아카데미텔Ⅱ)"
가락성모의원,1등급,"서울특별시 송파구 송파대로 284 205호 (가락동, 소석빌딩)"
가락연세정형외과의원,1등급,"서울특별시 송파구 양재대로 932 (가락동, 가락동 농수산물도매시장)"
가락한솔의원,1등급,"서울특별시 송파구 양재대로 932 관리업무동 5층 505호 (가락동, 가락동 농수산물도매시장)"
가람내과의원,1등급,"서울특별시 강동구 아리수로50길 50 4층 11호 (고덕동, 래미안힐스테이트고덕)"
가람내과의원,4등급,충청남도 아산시 배방읍 북수로 106 2층
가람의원,1등급,"경상남도 양산시 서일동로 39 2층 (중부동, 자연빌딩)"
가람이비인후과의원,4등급,"경기도 하남시 신평로 62 3층 (신장동, 태산빌딩)"
가본이비인후과의원,1등급,"부산광역시 사상구 엄궁북로 22 2,3층 (엄궁동)"
가산의원,3등급,"서울특별시 금천구 가산디지털1로 186 4층 403호 (가산동, 제이플라츠)"
가수원이비인후과의원,3등급,"대전광역시 서구 계백로 1161 304호 (가수원동, 유니온빌딩)"
가슴뛰는내과의원,1등급,광주광역시 서구 마륵복개로 91 2층 201호 (마륵동)
가슴편한내과의원,2등급,"서울특별시 강남구 봉은사로 327 4층 (논현동, 궁도빌딩)"
가야내과의원,5등급,"서울특별시 서초구 방배로 225 3,6,지하1층 (방배동, 남전빌딩)"
가야소아청소년과의원,2등급,"서울특별시 서초구 방배로 225 2층 (방배동, 남전빌딩)"
가야제일의원,3등급,부산광역시 부산진구 냉정로 226 2층 (개금동)
가양동서연합의원,4등급,대전광역시 동구 흥룡로 37 2층 (가양동)
가양성모의원,4등급,대전광역시 동구 동대전로 233 (가양동)
가오아이소아청소년과의원,3등급,대전광역시 동구 은어송로 60 3층 (가오동)
가오플러스산부인과의원,3등급,"대전광역시 동구 은어송로 63 5층,6층,7층,8층 (가오동)"
가온내과의원,4등급,경상남도 창원시 성산구 가음로 88 3~6층 (가음동)
가온미의원,2등급,부산광역시 중구 흑교로 6 3층 (부평동2가)
가온삼성가정의학과의원,2등급,"경기도 파주시 와석순환로 431 302호 (와동동, 신운정프라자 )"
가온의료소비자생활협동조합 세나여성의원,3등급,전라북도 전주시 완산구 소대배기로 14 (평화동2가)
가온의원,4등급,강원도 태백시 황지로 131 3층 (황지동)
가을의원,3등급,"전라북도 군산시 문화로 21 2층 (문화동, 문화빌딩)"
가인연합내과신경과의원,2등급,"대전광역시 유성구 유성대로 770 3층, 5층 (장대동)"
가자연세병원,1등급,경기도 김포시 돌문로 43 2층 (사우동)
가자연세병원,1등급,"서울특별시 서대문구 수색로 18 2~5층 (남가좌동, 영보웨딩부페)"
가재울정내과의원,3등급,"서울특별시 서대문구 가재울미래로 2 별동상가동 3층 304-1,2/305-1,2호 (남가좌동, DMC파크뷰자이)"
가정의원,3등급,충청남도 태안군 태안읍 환동로 75 (태안읍)
가정의원,1등급,경상북도 구미시 고아읍 문장로22길 40 (고아읍)
가정이편한가정의학과의원,4등급,"경기도 용인시 기흥구 덕영대로2077번길 16 302호 (영덕동, 기흥대정프라자)"
가족보건의원,1등급,"울산광역시 남구 봉월로 63 1,2층 (신정동)"
가족사랑의원,1등급,"경기도 광명시 도덕로 52 3층 (광명동, 청송빌딩)"
가족사랑의원,2등급,서울특별시 양천구 목동중앙본로 40 (목동)
가족사랑의원,5등급,"경상북도 구미시 도봉로5길 11 가동 205호 (봉곡동, 주공그린빌상가)"
가족애내과의원,1등급,서울특별시 광진구 뚝섬로 558 2층 (자양동)
가좌그린의원,3등급,경상남도 진주시 내동로 356 (가좌동)
가좌성모의원,2등급,"인천광역시 서구 장고개로 283 지하1층, 1층 일부호 (가좌동)"
가좌연세소아과의원,1등급,인천광역시 서구 원적로 100 (가좌동)
가좌우리내과의원,5등급,인천광역시 서구 고래울로 29 (가좌동)
가좌우리의원,2등급,경기도 고양시 일산서구 가좌3로 29 1층 (가좌동)
가좌정형외과의원,1등급,인천광역시 서구 원적로 96 (가좌동)
가창의원,3등급,대구광역시 달성군 가창면 가창로216길 61 2층
가천경대의원,3등급,경상북도 성주군 가천면 가천로 82 ()
가천대부속 동인천길병원,3등급,"인천광역시 중구 큰우물로 21 (용동, 지하1층, 1층, 3~5층, 8층)"
가톨릭관동대학교 국제성모병원,1등급,인천광역시 서구 심곡로100번길 25-0 인천국제성모병원
가톨릭내과의원,5등급,경상북도 성주군 성주읍 시장길 5-1 (성주읍)
가톨릭대학교 성빈센트병원,1등급,경기도 수원시 팔달구 중부대로 93 (지동)
가톨릭대학교 여의도성모병원,1등급,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동)
가톨릭대학교 은평성모병원,1등급,서울특별시 은평구 통일로 1021 (진관동)
가톨릭대학교부천성모병원,1등급,경기도 부천시 소사로 327 (소사동)
가톨릭대학교의정부성모병원,2등급,경기도 의정부시 천보로 271 의정부성모병원 (금오동)
가톨릭대학교인천성모병원,1등급,인천광역시 부평구 동수로 56 (부평동)
가톨릭병원,2등급,대전광역시 서구 도산로 351  (용문동)
가톨릭성모내과의원,4등급,경기도 안양시 만안구 안양로 461-1 1층 (석수동)
가톨릭성모의원,3등급,"충청남도 천안시 동남구 대흥로 256 (대흥동, 홍익빌딩)"
가톨릭신경외과의원,1등급,대구광역시 동구 아양로 56 (신암동)
가톨릭연합정형외과의원,4등급,경상북도 영천시 완산로 58 (완산동)
가톨릭연합정형외과의원,5등급,경상북도 성주군 성주읍 성주읍3길 7 1층
가톨릭외과의원,1등급,경기도 부천시 부흥로 440 (심곡동)
가톨릭의원,5등급,"경상북도 영주시 대학로 30 3층 (휴천동, 그린빌딩)"
가톨릭이비인후과의원,1등급,경상북도 구미시 신시로 75 (형곡동)
가톨릭이비인후과의원,1등급,대구광역시 달서구 달구벌대로 1736 (두류동)
가톨릭이비인후과의원,5등급,"대구광역시 북구 칠곡중앙대로 411 2층 (태전동, 우영펠리스 )"
가톨릭정형외과의원,1등급,"충청남도 천안시 서북구 봉정로 370 3,4층 (두정동)"
가평삼성의원,4등급,경기도 가평군 가평읍 석봉로 198 ()
가헌의원,1등급,충청남도 아산시 번영로 143-1 (권곡동)
간석굿모닝의원,4등급,인천광역시 남동구 석산로169번길 17 (간석동)
간석메디정형외과의원,1등급,"인천광역시 남동구 백범로 276 자하1,지상1~3층 (간석동)"
간석연세이비인후과의원,5등급,"인천광역시 남동구 석산로 156 1동 203호 (간석동, 간석레미안자이상가)"
갈마중앙의원,1등급,"대전광역시 서구 신갈마로 133 2,3층 (갈마동)"
갈매아이웰소아청소년과의원,4등급,"경기도 구리시 갈매순환로 194 3층 302,303호 (갈매동, 신영프라자)"
갈매우리내과의원,4등급,경기도 구리시 갈매순환로 7 에이스프라자 3층 1호 (갈매동)
갈바리의원,1등급,강원도 강릉시 임영로163번길 24-8 갈바리의원 (홍제동)
갈산내과의원,3등급,인천광역시 부평구 주부토로 182 (갈산동)
갈산의원,3등급,충청남도 홍성군 갈산면 상촌로9번길 2-1 (갈산면)
갈산중앙의원,1등급,인천광역시 부평구 굴포로 42 (갈산동)
감계삼성내과의원,5등급,"경상남도 창원시 의창구 북면 감계로 300 3층 302, 303호"
감동호내과의원,2등급,부산광역시 중구 흑교로 18 (부평동2가)
감창우내과의원,3등급,경상남도 거제시 거제중앙로 1875 (고현동)
감천의원,4등급,부산광역시 사하구 옥천로 37 (감천동)
감포의원,3등급,경상북도 경주시 감포읍 감포로5길 7-26 (감포읍)
"갑내과,산부인과의원",5등급,부산광역시 부산진구 서면문화로 2 (부전동)
강가정의학과의원,3등급,"서울특별시 동대문구 서울시립대로 31 102동 201호 (전농동, 동아아파트)"
강가정의학과의원,1등급,서울특별시 마포구 방울내로 70 2층 (망원동)
강경삼성의원,5등급,충청남도 논산시 강경읍 계백로 152-1 (강경읍)
강경성내과의원,5등급,충청남도 논산시 강경읍 계백로 115 ()
강경태내과의원,2등급,광주광역시 서구 독립로 173 1층 (양동)
강경훈소아과의원,1등급,서울특별시 관악구 신림로 141 (신림동)
강구외과의원,5등급,경상북도 영덕군 강구면 영덕대게로 31-6 (강구면)
강기상내과의원,1등급,부산광역시 부산진구 복지로 61 (개금동)
강기영가정의학과의원,5등급,"부산광역시 사하구 다대낙조2길 100 309,310호 (다대동, 롯데캐슬몰운대아파트주상가)"
강남가정의학과의원,3등급,대전광역시 중구 대종로 63 1층 (옥계동)
강남굿모닝의원,1등급,부산광역시 중구 대청로 71 3층 (보수동1가)
강남내과의원,5등급,울산광역시 동구 방어진순환도로 577 (화정동)
강남마취통증의학과의원,1등급,경상남도 고성군 거류면 거류로 642 2층
강남미래의원,1등급,경상북도 안동시 강남1길 69 (정하동)
강남베드로병원,3등급,"서울특별시 강남구 남부순환로 2649 (도곡동, 남부순환로 2633 지하1층일부, 2층,3층,4층일부,5~7층)"
강남베스트내과의원,1등급,"경기도 양주시 회천남로 92 센타프라자 502-2,503호 (옥정동)"
